Catégorie,Mes.,Annotations de mesures,Remarques / observations,Analyse personnelle / TP de séminaire,,,,,,,,,,,,,
mo-,33,"Marie : gesprochen, histoire passée, du présent et de l'avenir (comme la tonalité?)",,,,,,,,,,,,,,,
graph- mo-,34,"Lien entre Marie et les cordes : Sol - La b - Si, Accord Wozzeck (prémonitoire)",,Klage Laut?,,,,,,,,,,,,,
int-,34,Cordes : Accord broderie avec harmonie de gamme par tons,,,,,,,,,,,,,,,
graph- mo-,35,"Hr., Vl. 1 : Élément thématique a",,,,,,,,,,,,,,,
mo-,36,M. : Déchirant (war Alles tot),,,,,,,,,,,,,,,
mo-,36,Vl. 1 : Motif du repentir (initié par Marie),,,,,,,,,,,,,,,
int-,36,Accord La b Maj. 6/4,,,,,,,,,,,,,,,
graph- mo-,37,"Hr. 1 - 4, Vla. & Vlc. : Accord de Ré b Maj., Vl. : Accord de Do Maj. (superposition accords Maj.s au 1/2 ton un ton plus bas)",,,,,,,,,,,,,,,
mo-,37,Hr. 1 : Élément thématique c,,,,,,,,,,,,,,,
mo-,37,Vl. 1 : Courbe tonale du Wir arme leut,,,,,,,,,,,,,,,
int- mo-,37,M. : Montée précipitée,,Prémonition de la future souffrance de l'enfant,,,,,,,,,,,,,
graph- mo-,38,"Hr. 1 - 2 : Élément thématique d : Motif de la frayeur, chute ralentie, élision entre l'élément c et d",,,,,,,,,,,,,,,
mo-,38,Hr. 1 : Élément thématique e : Élision entre l'élément d et e,,,,,,,,,,,,,,,
int-,38,Marie : Arrêt sur Si (4te aug par rapport à la tonique),,,,,,,,,,,,,,,
tim-,38,Cordes : lagrimoso,,,,,,,,,,,,,,,
int-,38,Accord 7+ (V de Do Maj.),,V de V de Fa?,,,,,,,,,,,,,
int-,39,"Hfe. : Sublime cadence : Do - Fa #, Mi - Si b (4te aug, 5te aug)",,,,,,,,,,,,,,,
int-,39,Accord I = 7 + (I = V de Fa),,V de Fa?,,,,,,,,,,,,,
mo-,39-40,Vlc : mouvement cadentiel (4te de l'enfant),,,,,,,,,,,,,,,
mo- int-,40-41,Hr. 1 : Appogiature vers élément thématique a,,Note d'appogiature est la 4te aug de la tonalité,,,,,,,,,,,,,
tim-,40-41,Transition Mahlérienne (changement de timbre),,,,,,,,,,,,,,,
graph- int- mo-,40-41,"Hfe., Vl., Vla. : Harmonie",,Reprise des deux premières mesures de la 5e var.,,,,,,,,,,,,,
int-,40-41,"M. : Fa - Si (weil es Niemand, 5te dim)",,,,,,,,,,,,,,,
graph- int-,42,"Fl., Ob, Hfe. : Accord de Do Maj.",,,,,,,,,,,,,,,
mo-,42,"Trp. : Élément thématique d : Note tenue harmonisée à la 3ce min. (couteau), puis motif de la frayeur harmonisé en 2des Maj.",,,,,,,,,,,,,,,
graph- mo-,42-43,Motif mélo. M. : GP 10 (arrivée de Wozzeck) en dialecte germanique,,,,,,,,,,,,,,,
mo-,42-44,"Pos. : Élément thématique e, se fige sur Si",,,,,,,,,,,,,,,
graph- mo-,43-44,"Trp. : Élément thématique c, puis GP10 (Hetzmotiv!)",,,,,,,,,,,,,,,
mo-,44,Hr. : Élément thématique f,,,,,,,,,,,,,,,
graph- mo-,45-48,Bkb. & Fg. : Élément thématique e avec expansion d'intervalles,,,,,,,,,,,,,,,
int-,45-48,Cordes : Accord de 4tes,,Continue l'accord des cuivres,,,,,,,,,,,,,
mo- tim-,45-48,Kl. : Couleur Ländler,,,,,,,,,,,,,,,
